Priority,Section,Status,Reference miles,Completed miles,Remaining miles,Remaining road or sidewalk miles,Review miles,Completion percent,Suggested 8-mile days
1,New Straitsville,In progress,60.99628171478595,2.6157399628837967,58.38054175190214,23.795860554596757,0.13094210817661583,0.04288359698899027,8
2,Scioto Trail,In progress,59.43788276465425,2.6849835749279123,56.75289918972633,22.3651697844646,0.1459953597762947,0.04517293433144601,8
3,Loveland,Not started,46.10884931997146,0,46.10884931997146,7.119671120655383,0,0,6
4,Caesar Creek,Not started,49.978749105225496,0,49.978749105225496,13.07364988467352,0,0,7
5,Troy,Not started,51.58747912192776,0,51.58747912192776,0.42563926668257374,0,0,7
6,St. Marys,Not started,48.43339895013115,0,48.43339895013115,19.975841088045957,0,0,7
7,Delphos,Not started,46.54501664510959,0,46.54501664510959,32.99539642718201,0,0,6
8,Defiance,Not started,54.398562395609396,0,54.398562395609396,20.272235146742993,0,0,7
9,Pemberville,Not started,56.09676986399396,0,56.09676986399396,36.550917640976394,0,0,8
10,Norwalk,Not started,51.79870639840355,0,51.79870639840355,26.185785854380825,0,0,7
11,Medina,Not started,55.81715282748757,0,55.81715282748757,39.2346198202498,0,0,7
12,Bedford,Not started,66.80913938750359,0,66.80913938750359,26.03048198520642,0,0,9
13,Burton,Not started,60.8396961743422,0,60.8396961743422,29.39147876401771,0,0,8
14,Mogadore,Not started,74.3358784697362,0,74.3358784697362,41.8891175534873,0,0,10
15,Massillon,Not started,53.44165075956432,0,53.44165075956432,30.502490455738492,0,0,7
16,Bowerston,Not started,63.46374671916038,0,63.46374671916038,39.48378966833709,0,0,8
17,Belle Valley,Not started,47.65730633102673,0,47.65730633102673,38.3684283782706,0,0,6
18,Road Fork,Not started,59.57582716933087,0,59.57582716933087,36.35953531376753,0,0,8
19,Whipple,Not started,57.14688717887534,0,57.14688717887534,43.811640022269806,0,0,8
20,Stockport,Not started,38.7393869800362,0,38.7393869800362,35.51757734828571,0,0,5
21,Old Man's Cave,Not started,52.62765449773334,0,52.62765449773334,30.589482422651642,0,0,7
22,Sinking Spring,Not started,53.84492066332636,0,53.84492066332636,28.82478823669785,0,0,7
23,Shawnee,Not started,55.1709267875605,0,55.1709267875605,30.089278612900763,0,0,7
24,West Union,Not started,58.577905034597975,0,58.577905034597975,52.33436729499734,0,0,8
25,Williamsburg,Not started,52.834950228076224,0,52.834950228076224,27.845507237731724,0,0,7
26,Akron,Not started,57.26681181897713,0,57.26681181897713,2.1474588403722272,0,0,8
